YEAR,EMP_ID,FACTOR,RESULT
2024,10001,11,5
2024,10001,12,3
2024,10001,13,4
2024,10001,14,2
2024,10001,15,2
2024,10001,16,4
2024,10001,17,3
2024,10001,18,4
2024,10001,19,1
2024,10001,21,2
2024,10001,22,2
2024,10001,23,2
2024,10001,24,2
2024,10001,25,1
2024,10001,26,1
2024,10001,31,4
2024,10001,32,4
2024,10001,33,4
2024,10001,34,3
2024,10002,11,4
2024,10002,12,5
2024,10002,13,3
2024,10002,14,4
2024,10002,15,4
2024,10002,16,3
2024,10002,17,4
2024,10002,18,4
2024,10002,19,3
2024,10002,21,1
2024,10002,22,1
2024,10002,23,2
2024,10002,24,2
2024,10002,25,1
2024,10002,26,1
2024,10002,31,3
2024,10002,32,4
2024,10002,33,5
2024,10002,34,3
